Kode SDS,Nama Data,,Konsep,,Definisi,Penyajian,Isian,Ukuran,Satuan,,
10210020,Jumlah Kasus Kecelakaan Kerja,,[K00791] Kecelakaan Kerja;,,Banyaknya kasus kecelakaan yang timbul dari atau sehubungan dengan pekerjaan.,[32010026] Wilayah;,-,Total,kasus,,
10210021,Jumlah Lembaga Pelatihan Kerja,,[K02366] Lembaga; [K01354] Pelatihan;,,"Banyaknya instansi pemerintah, badan hukum, atau perorangan yang menyelenggarakan pelatihan kerja dan telah memenuhi syarat yang berlaku.",[32010026] Wilayah;,-,Total,unit,,
10210023,Jumlah Lowongan Pekerjaan,,[K01119] Lowongan Pekerjaan;,,"Banyaknya kebutuhan tenaga kerja dengan jumlah dan persyaratan tertentu untuk mengisi jabatan/jenis pekerjaan yang tersedia dari pemberi kerja, baik di dalam maupun di luar hubungan kerja.",[32010026] Wilayah;,-,Total,orang,,
10210024,Jumlah Mediator Ketenagakerjaan,,[K01153] Mediator;,,Banyaknya pegawai instansi pemerintah yang bertanggung jawab di bidang ketenagakerjaan yang ditetapkan oleh menteri untuk melaksanakan tugas mediasi dan wajib memberikan anjuran tertulis kepada para pihak yang berselisih untuk,"[32010026] Wilayah;
[33220007] Jenis
Kelamin; [10320055] Tingkat Pendidikan;",-,Total,orang,,
,,,,,"menyelesaikan perselisihan hak, perselisihan kepentingan, perselisihan pemutusan hubungan kerja, dan perselisihan antarserikat pekerja/serikat buruh dalam satu perusahaan.",,,,,,
10210025,Jumlah Mogok Kerja,,[K01200] Mogok Kerja;,,Banyaknya tindakan pekerja/buruh yang direncanakan dan dilaksanakan secara bersama-sama dan/atau oleh serikat pekerja/serikat buruh untuk menghentikan atau memperlambat pekerjaan.,"[32010026] Wilayah;
[23020050] Sumber Penanaman Modal;",-,Total,kasus,,
10210051,Jumlah Pekerja,,[K01306] Pekerja;,,"Banyaknya orang yang melakukan pekerjaan guna menghasilkan barang dan/atau jasa selama periode proses produksi, dapat mencakup pekerja tetap, pekerja kontrak, pekerja alih daya/outsourcing, pekerja asing, pekerja tidak tetap/harian, atau pun pekerja profesional.","[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha; [33220007] Jenis
Kelamin;",-,Total,orang,,
10210091,Jumlah Pekerja Dibayar,,[K01306] Pekerja;,,Banyaknya pekerja yang bekerja dengan menerima upah/gaji baik berupa uang maupun barang.,[32010026] Wilayah;,-,Total,orang,,
10210031,Jumlah Pekerja Sektor Informal,,[K01306] Pekerja; [K02293] Usaha Sektor Informal;,,"Banyaknya perseorangan, keluarga, atau beberapa orang yang melaksanakan usaha bersama untuk melakukan kegiatan ekonomi atas dasar kepercayaan dan kesepakatan serta tidak berbadan hukum.","[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;
[33220007] Jenis
Kelamin;
[10120066] Umur/Usia;
[10320055] Tingkat Pendidikan;",-,Total,orang,,
10210026,Jumlah Pekerja Setengah Penganggur,,[K01315] Pekerja Setengah Penganggur;,,Banyaknya penduduk usia kerja yang bekerja dengan durasi kurang dari jam kerja normal (kurang dari 35 jam seminggu) dan masih mencari pekerjaan atau masih bersedia menerima pekerjaan.,"[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;
[10320055] Tingkat Pendidikan; [33220007] Jenis
Kelamin;",-,Total,orang,,
,,,,,,"[22020004] Jenis
Lapangan Usaha;",,,,,
10210027,Jumlah Pekerja Tetap,,[K01317] Pekerja Tetap;,,Banyaknya pekerja yang mendapatkan upah/gaji secara tetap tanpa tergantung pada kehadiran dan apabila diberhentikan biasanya mendapatkan pesangon (termasuk pemilik).,[32010026] Wilayah;,-,Total,orang,,
10210092,Jumlah Pekerja Tidak Dibayar,,[K01306] Pekerja;,,Banyaknya pekerja yang telah bekerja pada suatu kegiatan usaha akan tetapi tidak ada kesepakatan akan menerima upah/bayaran dalam  satu bulan ke depan atau berstatus sebagai pekerja keluarga.,[32010026] Wilayah;,-,Total,orang,,
10210028,Jumlah Pekerja Tidak Tetap/Harian,,[K01318] Pekerja Tidak Tetap/Harian;,,"Banyaknya pekerja yang tidak terikat secara tetap dengan perusahaan/ usaha, dan adanya hubungan kerja dengan perusahaan/usaha hanya selama ada pekerjaan/proyek.",[32010026] Wilayah;,-,Total,orang,,
10210029,Jumlah Pencari Kerja Terdaftar,,[K01441] Pencari Kerja;,,"Banyaknya orang yang sedang menganggur dan mencari pekerjaan maupun yang sudah bekerja tetapi ingin pindah atau alih pekerjaan, dengan mendaftarkan diri kepada pelaksana penempatan tenaga kerja atau secara langsung melamar pekerjaan kepada pemberi kerja.","[32010026] Wilayah;
[33220007] Jenis
Kelamin; [10620071] Status Disabilitas;",-,Total,orang,,
10210032,Jumlah Penganggur,,"[K01510]
Pengangguran;",,"Banyaknya orang berusia 15 tahun ke atas yang mampu melakukan pekerjaan namun belum bekerja karena sedang mencari pekerjaan, mempersiapkan usaha, putus asa/ merasa tidak mungkin mendapatkan pekerjaan, atau sudah diterima kerja tapi belum mulai bekerja.","[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;
[10320055] Tingkat Pendidikan; [33220007] Jenis
Kelamin;",-,Total,orang,,
10210034,Jumlah Penyelenggara Pemagangan Dalam Negeri,,[K01373] Pemagangan;,,Banyaknya perusahaan yang memenuhi persyaratan untuk,[32010026] Wilayah;,-,Total,lembaga,,
,,,,,menyelenggarakan pemagangan di dalam negeri.,,,,,,
