Kode SDS,Nama Data,,Konsep,,Definisi,Penyajian,Isian,Ukuran,Satuan,,
31010048,Jumlah Korban Bencana,,[K00974] Korban; [K00255] Bencana;,,"Banyaknya orang yang mengalami kerusakan lingkungan, kerugian harta benda, dampak psikologis, dan meninggal dunia akibat kecelakaan, bencana, dan/atau kondisi membahayakan manusia.","[32010026] Wilayah;
[10420200] Keadaan Korban Hasil Pencarian dan Pertolongan;",-,Total,orang,,
31010128,Jumlah Korban Bencana yang Dilakukan Pencarian dan Pertolongan,,[K00974] Korban; [K00255] Bencana; [K02372] Pencarian dan Pertolongan;,,"Banyaknya orang yang mengalami penderitaan, meninggal dunia, atau hilang akibat bencana yang dilakukan pencarian dalam upaya menolong dan memberi bantuan.",[3200026] Wilayah;,-,Total,orang,,
31010049,Jumlah Korban Kecelakaan dengan Penanganan Khusus,,[K00974] Korban; [K00789] Kecelakaan;,,"Banyaknya orang yang mengalami kecelakaan yang membutuhkan teknologi tertentu, sumber daya manusia yang memiliki kompetensi tertentu, prosedur kerja tertentu dan/atau terjadi di lokasi kejadian yang sulit dijangkau.",[32010026] Wilayah;,-,Total,orang,,
31010050,Jumlah Korban Kondisi Membahayakan Manusia,,[K00974] Korban; [K00960] Kondisi Membahayakan Manusia;,,"Banyaknya orang yang mengalami peristiwa yang menimpa, membahayakan, dan/atau mengancam keselamatan manusia, selain kecelakaan dan bencana.",[32010026] Wilayah;,-,Total,orang,,
31010053,Jumlah Pompa Banjir,,[K01755] Pompa Banjir;,,Banyaknya unit pompa pengendali banjir yang berfungsi untuk mengubah aliran dan/atau alur sungai.,[32010026] Wilayah;,-,Total,unit,,
31010054,Jumlah Potensi Penurunan Emisi Gas Rumah Kaca (GRK),,[K00434] Emisi Gas Rumah Kaca;,,"Besarnya potensi penurunan pelepasan gas yang terkandung dalam atmosfer, baik alami maupun antropogenik, yang menyerap dan memancarkan kembali radiasi inframerah yang dihitung dari emisi baseline dikurangi dengan emisi proyek.",[32010026] Wilayah;,-,Total,tonnes of carbon dioxide equivalent,,
31010056,Jumlah Sabo Dam,,[K01939] Sabo Dam;,,"Banyaknya bangunan yang dipasang melintang alur di hulu sungai lahar yang berfungsi untuk mengendalikan dasar sungai bagian hilir agar tetap stabil meskipun ada suplai material, atau sedimen yang terangkut oleh aliran air di suatu wilayah.",[32010026] Wilayah;,-,Total,unit,,
31010057,Jumlah Sinyal Darurat,,[K02018] Sinyal Darurat;,,Banyaknya sinyal yang dipancarkan untuk mendapatkan bantuan.,[32010026] Wilayah;,-,Total,kali,,
31010058,Jumlah Situ,,[K02028] Situ;,,"Banyaknya wadah genangan air di atas permukaan tanah yang terbentuk secara alami maupun buatan dan merupakan sumber air baku yang airnya berasal dari tanah, air hujan dan/atau sumber air lainnya.",[32010026] Wilayah;,-,Total,unit,,
31010059,Jumlah Situs Penting Keanekaragaman Hayati Pegunungan dalam Kawasan Konservasi,,[K00753] Kawasan Konservasi;,,Banyaknya situs penting keanekaragaman hayati pegunungan pada kawasan konservasi.,"[32010026] Wilayah;
[31020015] Fungsi Area Kawasan Konservasi;",-,Total,situs,,
31010060,Jumlah Tangkapan Ikan yang Diperbolehkan,,[K02125] Penangkapan Ikan Terukur;,,Banyaknya tangkapan sebesar 80% dari jumlah tangkapan lestari/maximum sustainable yield (MSY) yang diperbolehkan untuk dilakukan penangkapan.,[32010026] Wilayah;,-,Total,ton,,
31010061,Jumlah Tangkapan Lestari,,[K02125] Penangkapan Ikan Terukur;,,Banyaknya tangkapan maksimum yang diperbolehkan agar ketersediaan sumber daya perikanan tangkap tetap lestari (potensi lestari).,[32010026] Wilayah;,-,Total,ton,,
31010062,Jumlah Tempat Pemrosesan Akhir (TPA),,[K02145] Tempat Pemrosesan Akhir (TPA);,,Banyaknya tempat yang digunakan untuk memproses dan mengembalikan sampah ke media lingkungan dalam suatu wilayah.,[32010026] Wilayah;,-,Total,unit,,
31010129,Jumlah Tempat Penampungan Sementara (TPS),,[K02146] Tempat Penampungan Sementara (TPS);,,"Banyaknya tempat penampungan sebelum sampah diangkut ke tempat pendauran ulang, pengolahan, dan/atau tempat pengolahan sampah terpadu.",[32010026]  Wilayah;,-,Total,unit,,
31010063,Jumlah Timbulan Sampah yang Didaur Ulang,,[K01945] Sampah; [K00363] Daur Ulang;,,"Banyaknya timbulan sisa kegiatan sehari-hari manusia dan/atau proses alam yang berbentuk padat (sampah rumah tangga, sampah sejenis sampah rumah tangga, dan sampah spesifik) yang melalui upaya pengurangan, pembatasan dan pemanfaatan kembali.",[32010026] Wilayah;,-,Total,ton,,
31010069,Kapasitas Bendungan,,[K00260] Bendungan;,,"Daya tampung efektif dari bangunan yang digunakan untuk menahan dan menampung air, limbah tambang (tailing), maupun lumpur sehingga terbentuk waduk.",[32010026] Wilayah;,-,Volume,meter kubik,,
31010070,Kapasitas Embung,,[K00433] Embung;,,Daya tampung embung untuk menyimpan air hujan agar dapat digunakan pada saat musim  kemarau.,[32010026] Wilayah;,-,Volume,meter kubik,,
31010071,Kapasitas Situ,,[K02028] Situ;,,"Daya tampung suatu wadah genangan air di atas permukaan tanah, baik alami maupun buatan, yang merupakan sumber air baku di suatu wilayah.",[32010026] Wilayah;,-,Volume,meter kubik,,
31010072,Kapasitas Tempat Pemrosesan Akhir (TPA),,[K02145] Tempat Pemrosesan Akhir (TPA);,,Daya tampung infrastruktur tempat pemrosesan akhir (TPA) sampah.,[32010026] Wilayah;,-,Volume,meter kubik,,
31010066,Kapasitas Tempat Penampungan Sementara,,[K02146] Tempat Penampungan Sementara (TPS);,,"Daya tampung fasilitas tempat penampungan sampah sebelum sampah diangkut ke tempat pendauran ulang, pengolahan, dan/atau tempat pengolahan sampah
terpadu.",[32010026] Wilayah;,-,Volume,meter kubik,,
31010130,Ketinggian Terendah Permukaan Laut Astronomis,,[K02368] Muka Laut atau Permukaan Laut;,,Kedudukan permukaan air laut terendah yang dapat diprediksi terjadi pada kondisi meteorologi rata-rata dan memperhitungkan seluruh faktor astronomis pada pasang surut laut dalam kurun waktu 19 tahun.,[32010026] Wilayah;,-,Minimum,meter,,
31010131,Ketinggian Tertinggi Permukaan Laut Astronomis,,[K02368] Muka Laut atau Permukaan Laut;,,Kedudukan permukaan air laut tertinggi yang dapat  diprediksi terjadi pada kondisi meteorologi rata-rata dan memperhitungkan seluruh faktor astronomis pada pasang surut laut dalam kurun waktu 19 tahun.,[32010026] Wilayah;,-,Maksimum,meter,,
31010081,Laju Implisit Produk Domestik Bruto (PDB) Maritim,,[K01775] Produk Domestik Bruto (PDB); [K01137] Maritim;,,Perkembangan indeks implisit maritim pada periode tertentu terhadap indeks implisit periode sebelumnya.,"[32010026] Wilayah;
[31020079] Klaster Kemaritiman;",-,Persentase,persen,,
31010082,Laju Perluasan Lahan Terbangun,,[K01044] Lahan Terbangun;,,Angka yang menunjukkan tingkat pertambahan area tidak bervegetasi yang memiliki tutupan lahan permanen maupun semi permanen yang bersifat kedap air.,[32010026] Wilayah;,-,Persentase,persen,,
31010083,Laju Pertumbuhan Produk Domestik Bruto (PDB) Maritim Atas Dasar Harga Konstan (ADHK),,[K01775] Produk Domestik Bruto (PDB); [K01137] Maritim;,,Perkembangan nilai tambah barang dan jasa maritim pada periode tertentu terhadap nilai periode sebelumnya yang dihitung berdasarkan PDB maritim atas dasar harga konstan.,"[32010026] Wilayah;
[31020079] Klaster Kemaritiman;",-,Persentase,persen,,
31010084,Luas Kawasan Bernilai Konservasi Tinggi (HCV),,[K00753] Kawasan Konservasi;,,"Luas kawasan hutan konservasi dan hutan di luar konservasi termasuk areal penggunaan lain (APL) yang memiliki keanekaragaman hayati yang tinggi, baik dari segi ekosistem, populasi, maupun spesies, terutama daerah yang merupakan kantung- kantung satwa prioritas yang kemudian masuk ke dalam kawasan ekosistem esensial.",[32010026] Wilayah;,-,Luas,hektare,,
31010085,Luas Kawasan Konservasi Perairan Laut,,[K00753] Kawasan Konservasi; [K01063] Laut;,,"Luas keseluruhan kawasan perairan yang dilindungi, dikelola dengan sistem zonasi, untuk mewujudkan pengelolaan sumberdaya ikan dan lingkungannya secara berkelanjutan.",[32010026] Wilayah;,-,Luas,hektare,,
31010086,Luas Kegiatan Reboisasi,,[K01858] Reboisasi;,,"Luas penanaman jenis pohon pada kawasan hutan, untuk mengembalikan fungsi hutan.",[32010026] Wilayah;,-,Luas,hektare,,
31010087,Luas Lahan Kritis,,[K01031] Lahan Kritis;,,"Luas lahan yang tidak mampu lagi berperan sebagai unsur produksi pertanian, baik sebagai media pengatur tata air maupun sebagai perlindungan alam lingkungan.",[32010026] Wilayah;,-,Luas,hektare,,
31010132,Luas Pemberian Persetujuan Perhutanan Sosial,,[K01654] Perhutanan Sosial;,,"Luas areal kawasan hutan yang telah diberikan kepada masyarakat untuk kegiatan pengelolaan hutan desa, pengelolaan hutan kemasyarakatan, pengelolaan hutan tanaman rakyat, kemitraan kehutanan, dan hutan adat pada kawasan hutan lindung, hutan produksi atau kawasan hutan konservasi sesuai dengan fungsinya.",[32010026] Wilayah;,-,Luas,hektare,,
31010088,Luas Ruang Terbuka Hijau,,[K01907] Ruang Terbuka Hijau (RTH);,,"Besar area memanjang/jalur dan/atau mengelompok, yang penggunaannya lebih bersifat terbuka, tempat tumbuh tanaman, baik yang tumbuh secara alamiah maupun yang sengaja ditanam.","[32010026] Wilayah;
[31020029] Jenis Ruang Terbuka Hijau;",-,Luas,hektare,,
31010089,Luas Tempat Pemrosesan Akhir (TPA),,[K02145] Tempat Pemrosesan Akhir (TPA);,,Luas fasilitas tempat untuk memproses pengolahan persampahan dan mengembalikan sampah ke media lingkungan.,[32010026] Wilayah;,-,Luas,hektare,,
31010114,Nilai Penggunaaan Air Baku untuk Proses Produksi,,"[K00279] Biaya;
[K00019] Air Baku; [K01779] Produksi;",,Biaya yang dikeluarkan untuk penyediaan air baku yang digunakan dalam proses produksi selama periode waktu tertentu.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Nilai,rupiah,,
31010090,Pajak Atas Produk Maritim,,"[K01276] Pajak;
[K01137] Maritim;",,Pajak yang dikenakan pada setiap barang dan jasa maritim yang diproduksi.,[32010026] Wilayah;,-,Nilai,rupiah,,
31010091,Panjang Jaringan Distribusi Air Baku,,[K00391] Distribusi; [K00019] Air Baku;,,Panjang suatu sistem untuk menyalurkan air baku.,[32010026] Wilayah;,-,Panjang,meter,,
31010093,Panjang Jaringan Pengumpul Air Limbah,,[K01941] Saluran; [K01097] Limbah;,,"Panjang suatu sistem untuk menyalurkan air limbah yang berasal dari kegiatan produksi, perkantoran,",[32010026] Wilayah;,-,Panjang,kilometer,,
,,,,,dan rumah tangga menuju instalasi pengolahan air limbah (IPAL).,,,,,,
31010052,Panjang Pengaman Pantai,,[K01507] Pengaman Pantai;,,"Panjang infrastruktur yang digunakan untuk melindungi dan mengamankan daerah pantai dan muara sungai dari kerusakan akibat erosi, abrasi, dan akresi di suatu wilayah.",[32010026] Wilayah;,-,Panjang,meter,,
31010094,Panjang Saluran Air Hujan Pembuangan Akhir,,[K01941] Saluran;,,Panjang struktur kanal atau pipa yang berfungsi untuk menyalurkan air hujan yang bermuara pada saluran pembuangan akhir sesuai dengan ketentuan teknis pemerintah daerah setempat.,[32010026] Wilayah;,-,Panjang,meter,,
31010096,Persentase Lahan yang Terdegradasi,,[K00368] Degradasi Lahan;,,Bagian dari keseluruhan luas lahan yang mengalami penurunan produktivitas (degradasi) dan direhabilitasi.,"[32010026] Wilayah;
[31020110] Tingkat Kekritisan Lahan;",-,Persentase,persen,,
31010097,Persentase Limbah Bahan Berbahaya dan Beracun (B3) yang Ditangani/Diolah,,[K01097] Limbah; [K00194] Bahan Berbahaya dan Beracun (B3); [K01519] Pengelolaan Limbah;,,Bagian dari seluruh bahan/barang sisa atau bekas dari suatu kegiatan dan/atau proses produksi yang mengandung bahan berbahaya dan beracun (B3) yang ditangani/diolah.,[32010026] Wilayah;,-,Persentase,persen,,
31010098,Persentase Limbah Cair yang Diolah Secara Aman,,[K01097] Limbah; [K01519] Pengelolaan Limbah;,,Bagian dari seluruh bahan/barang sisa atau bekas dari suatu kegiatan dan/atau proses produksi berwujud cair yang dikelola secara aman.,[32010026] Wilayah;,-,Persentase,persen,,
31010099,Persentase Penurunan Sampah Terbuang ke Laut,,[K01945] Sampah; [K01063] Laut;,,"Besarnya perubahan banyak sampah yang berasal dari daratan, badan air, dan pesisir yang mengalir ke laut atau sampah yang berasal dari kegiatan di laut pada tahun berjalan dibandingkan dengan tahun sebelumnya terhadap total sampah pada tahun tersebut.",[32010026] Wilayah;,-,Persentase,persen,,
31010100,Persentase Penurunan Tingkat Konsumsi Perusak Ozon,,[K00199] Bahan Perusak Ozon (BPO);,,Pencapaian penurunan tingkat konsumsi bahan perusak ozon berupa hydroflorokarbon (HFC) yang,[32010026] Wilayah;,-,Persentase,persen,,
,,,,,merupakan bahan pengganti dari hydrochlorofluorocarbon (HCFC) terhadap baseline yang ditetapkan.,,,,,,
31010133,Persentase Perubahan Emisi Gas Rumah Kaca,,[K00470] Gas Rumah Kaca;,,Besarnya perubahan tingkat emisi gas rumah kaca pada titik tahun  tertentu dibandingkan dengan angka dasar emisi di tahun yang sama.,[32010026] Wilayah;,-,Persentase,persen,,
31010101,Persentase Perubahan Kualitas dan Kuantitas Sumber Daya Air pada Ekosistem Perairan,,[K01518] Pengelolaan Kualitas Air; [K00418]  Ekosistem;,,Perubahan tingkat kualitas dan kuantitas sumber daya air pada ekosistem perairan dari waktu ke waktu diindikasikan terhadap perubahan beberapa sub-indikator berikut: (1) ekosistem yang mempengaruhi ketersediaan sumber daya air; (2) kualitas air danau dan waduk/bendungan; (3) kuantitas air sungai; (4) kualitas badan air (permukaan dan tanah); dan (5) kuantitas akuifer air tanah.,[32010026] Wilayah;,-,Persentase,persen,,
31010134,Persentase Rumah Tangga yang Melakukan Pengelolaan Sampah,,"[K01925] Rumah Tangga;
[K01945] Sampah; [K01524] Pengelolaan Sampah;",,"Bagian dari seluruh rumah tangga yang melakukan pengelolaan sampah dengan cara diangkut petugas, dibuang ke tempat pembuangan sampah (TPS), dibuat kompos, dan/atau didaur ulang.",[32010026]  Wilayah;,-,Persentase,persen,,
31010135,Persentase Rumah Tangga yang Menyatakan Bahwa Fasilitas Sosial di Wilayah Tempat Tinggalnya Bersih,,"[K01925] Rumah Tangga;
[K00452] Fasilitas Sosial;",,Bagian dari seluruh rumah tangga yang menyatakan bahwa fasilitas umum/fasilitas sosial di wilayah tempat tinggalnya bersih.,[32010026] Wilayah;,-,Persentase,persen,,
31010136,Persentase Rumah Tangga yang Terlayani Pengelolaan Sampah,,"[K01925] Rumah Tangga;
[K01524] Pengelolaan Sampah;",,Bagian dari seluruh rumah tangga yang mendapatkan pelayanan pengelolaan sampah.,"[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Persentase,persen,,
31010137,Persentase Sampah Harian Terangkut,,[K01945] Sampah;,,Bagian dari timbulan sampah harian yang berhasil diangkut atau dikumpulkan dalam satu hari.,[32010026] Wilayah;,-,Persentase,persen,,
31010103,Persentase Sampah Sisa Makanan,,[K01945] Sampah; [K01131] Makanan;,,Bagian dari total sampah yang berupa sisa makanan.,[32010026] Wilayah;,-,Persentase,persen,,
31010102,Persentase Sampah yang Terkelola,,[K01945] Sampah; [K01524] Pengelolaan Sampah;,,Bagian dari keseluruhan timbulan sampah yang dikelola sampai proses akhir.,[32010026] Wilayah;,-,Persentase,persen,,
31010105,Persentase Wilayah Cekungan Lintas Batas dengan Pengaturan Kerja Sama Sumber Daya Air,,[K00314] Cekungan Lintas Batas;,,Bagian dari total luas permukaan cekungan lintas batas sungai dan danau yang terletak di dalam batas negara dan total luas akifer lintas batas yang tercakup dalam pengaturan perjanjian kerjasama pengelolaan sumber daya air lintas batas.,[32010026] Wilayah;,-,Persentase,persen,,
31010106,Produk Domestik Bruto (PDB) Maritim Atas Dasar Harga Berlaku (ADHB),,[K01775] Produk Domestik Bruto (PDB); [K01137] Maritim;,,"Agregat nilai tambah yang dihasilkan oleh unit produksi yang tercakup dalam 12 cluster ekonomi maritim di wilayah suatu negara dalam jangka waktu tertentu yang dihitung menggunakan harga yang berlaku pada setiap periode, ditambah dengan pajak atas produk maritim dikurang subsidi atas produk maritim.","[32010026] Wilayah;
[31020079] Klaster Kemaritiman;",-,Nilai,rupiah,,
31010107,Produk Domestik Bruto (PDB) Maritim Atas Dasar Harga Konstan (ADHK),,[K01775] Produk Domestik Bruto (PDB); [K01137] Maritim;,,"Agregat nilai tambah yang dihasilkan oleh unit produksi yang tercakup dalam 12 kluster ekonomi maritim di wilayah suatu negara dalam jangka waktu tertentu yang dihitung menggunakan harga yang berlaku pada satu tahun tertentu sebagai dasar, ditambah dengan  pajak atas produk maritim dikurang subsidi atas produk maritim.","[32010026] Wilayah;
[31020079] Klaster Kemaritiman;",-,Nilai,rupiah,,
31010138,Rasio Kerugian Ekonomi Langsung Akibat Bencana terhadap Produk Domestik Bruto (PDB),,[K01775] Produk Domestik Bruto (PDB); [K00255] Bencana;,,Perbandingan antara total kerugian yang didapatkan setelah adanya bencana dibandingkan total produk domestik bruto (PDB).,"[32010026] Wilayah;
[31020021] Jenis
Bencana;",-,Rasio,-,,
31010139,Rasio Laju Perluasan Lahan Terbangun Terhadap Laju Pertumbuhan Penduduk,,[K01044] Lahan Terbangun; [K01476] Penduduk;,,"Perbandingan laju perluasan lahan terbangun (tidak bervegetasi, memiliki tutupan permanen atau semi permanen yang kedap air) dengan laju pertumbuhan penduduk pada kurun waktu yang sama.",[32010026] Wilayah;,-,Rasio,-,,
31010108,Rasio Potensi Penurunan Intensitas Emisi Gas Rumah Kaca (GRK),,[K00434] Emisi Gas Rumah Kaca;,,Perbandingan antara total emisi gas rumah kaca (GRK) di tahun berjalan dengan produk domestik bruto (PDB) di tahun berjalan.,[32010026] Wilayah;,-,Rasio,tonnes of carbon dioxide equivalent per rupiah,,
31010140,Rata-rata Ketinggian Terendah Muka Laut Purnama,,[K02368] Muka Laut atau Permukaan Laut;,,Rata-rata ketinggian permukaan laut dari dua kali air laut turun (surut) terendah yang terjadi dalam 24 jam saat bulan purnama dan bulan baru yang diamati dalam kurun waktu 19 tahun.,[32010026] Wilayah;,-,Rata-rata,meter,,
31010141,Rata-rata Ketinggian Tertinggi Muka Laut Purnama,,[K02368] Muka Laut atau Permukaan Laut;,,Rata-rata ketinggian permukaan laut dari dua kali air laut naik (pasang) tertinggi yang terjadi dalam 24 jam saat bulan purnama dan bulan baru yang diamati dalam kurun waktu 19 tahun.,[32010026] Wilayah;,-,Rata-rata,meter,,
31010142,Rata-rata Response Time Operasi Pencarian dan Pertolongan pada Bencana,,[K02372] Pencarian dan Pertolongan; [K00255] Bencana;,,Rata-rata jangka waktu yang dihitung sejak informasi/laporan terkait dengan keadaan yang berpotensi menimbulkan bencana diterima sampai dengan unit pencarian dan pertolongan siap diberangkatkan.,[3200026] Wilayah;,-,Rata-rata,menit,,
31010143,"Rata-rata Tahunan Materi Partikulat 10
Mikron (PM 10)",,[K01287] Materi Partikulat/Particulate Matter;,,Rata-rata tahunan partikel udara yang berukuran kurang dari 10 mikron di perkotaan untuk setiap penduduk.,[32010026] Wilayah;,-,Rasio,mikrogram per meter kubik,,
31010109,Subsidi Atas Produk Maritim,,[K02064] Subsidi; [K01137] Maritim;,,Subsidi yang dikenakan pada setiap barang dan jasa maritim yang diproduksi.,[32010026] Wilayah;,-,Nilai,rupiah,,
31010111,Tingkat Korban Terluka Akibat Bencana,,[K00974] Korban; [K00255] Bencana;,,"Banyaknya orang yang mengalami luka-luka atau sakit, dalam keadaan luka ringan, maupun luka parah/ berat, akibat bencana setiap 100.000 penduduk.",[32010026] Wilayah;,-,Tingkat,korban perseratus ribu orang,,
31010115,Volume Air Baku,,[K00019] Air Baku;,,"Banyaknya kebutuhan terhadap air yang dapat berasal dari sumber air permukaan, cekungan air tanah dan/atau air hujan yang memenuhi baku mutu tertentu.",[32010026] Wilayah;,-,Volume,meter kubik,,
31010118,Volume Air Tanah,,[K00019] Air Baku;,,Banyaknya air yang terdapat dalam lapisan tanah atau batuan di bawah permukaan tanah.,[32010026] Wilayah;,-,Volume,meter kubik,,
31010119,Volume Limbah Cair,,[K01097] Limbah;,,Banyaknya sisa hasil suatu usaha dan/atau kegiatan industri yang berwujud cair yang dihasilkan oleh seluruh perusahaan dalam rentang waktu tertentu.,[32010026] Wilayah;,-,Volume,meter kubik,,
31010144,Volume Sampah Harian Terangkut,,[K01945] Sampah;,,Banyaknya volume sampah yang berhasil diangkut atau dikumpulkan dari suatu wilayah atau lokasi dalam satu hari.,[32010026] Wilayah;,-,Volume,meter kubik,,
32010029,Indeks Daya Saing Daerah,,[K00366] Daya Saing; [K02323] Wilayah;,,Angka yang menggambarkan kemampuan atau produktivitas suatu daerah untuk dapat tumbuh (berkembang) dan bersaing dengan daerah lain pada tingkat provinsi dan kabupaten/kota.,[32010026] Wilayah;,-,Indeks,-,,
32010030,Indeks Desa,,[K00371] Desa;,,"Angka yang menggambarkan perkembangan kemajuan kemandirian desa, yang menjadi salah satu input dalam perumusan isu-isu strategis dan permasalahan utama terkait dengan pembangunan dan pemberdayaan masyarakat desa.",[32010026] Wilayah;,-,Indeks,-,,
32010031,Indeks Desa Membangun (IDM),,[K00371] Desa; [K02370],,Angka yang menggambarkan status kemajuan dan kemandirian desa yang,[32010026] Wilayah;,-,Indeks,-,,
,,,Pembangunan Nasional;,,"diukur berdasarkan aspek ketahanan sosial, ketahanan ekonomi, dan ketahanan lingkungan.",,,,,,
32010032,Indeks Perkembangan Kawasan Transmigrasi,,[K02222] Transmigrasi;,,"Angka yang menunjukkan perkembangan satuan permukiman (SP), satuan kawasan pengembangan (SKP), kawasan perkotaan baru (KPB), dan kawasan transmigrasi, serta memberikan informasi mengenai inisiatif masyarakat, strategi pembangunan dan pengembangan, serta kebutuhan intervensi yang lebih akurat dalam rangka mewujudkan kawasan transmigrasi sebagai satu kesatuan sistem pengembangan ekonomi wilayah yang berdaya saing.",[32010026] Wilayah;,-,Indeks,-,,
32010011,Jumlah Desa,,[K00371] Desa;,,"Banyaknya kesatuan masyarakat hukum yang memiliki batas wilayah yang berwenang untuk mengatur dan mengurus urusan pemerintahan dan kepentingan masyarakat  setempat berdasarkan prakarsa masyarakat, hak asal usul, dan/atau hak tradisional yang diakui dan dihormati dalam sistem pemerintahan Negara Kesatuan Republik Indonesia.","[32010026] Wilayah;
[32020009] Jenis
Topografi;",-,Total,desa,,
32010033,Jumlah Desa Mandiri,,"[K00373] Desa
Mandiri;",,"Banyaknya desa yang mempunyai ketersediaan dan akses terhadap pelayanan dasar yang mencukupi, infrastruktur yang memadai, aksesibilitas transportasi yang tidak sulit, pelayanan umum yang bagus, serta penyelenggaraan pemerintahan yang sudah sangat baik, serta memiliki nilai indeks desa 80—100.",[32010026] Wilayah;,-,Total,desa,,
32010034,Jumlah Desa Tertinggal,,"[K00371] Desa;
[K00335] Daerah Tertinggal;",,"Banyaknya desa yang masih minim dalam ketersediaan dan akses terhadap pelayanan dasar,",[32010026] Wilayah;,-,Total,desa,,
,,,,,"infrastruktur, aksesibilitas/ transportasi pelayanan umum, dan penyelenggaraan pemerintahan yang mencakup desa sangat tertinggal dan desa tertinggal dengan indeks pembangunan desa dalam rentang nilai 0—49,9.",,,,,,
32010035,Jumlah Desa/Kelurahan Tepi Laut,,"[K00371] Desa;
[K00836] Kelurahan;",,"Banyaknya desa/kelurangan yang sebagian atau seluruh wilayahnya bersinggungan langsung dengan laut, baik berupa pantai maupun tebing karang.",[32010026] Wilayah;,-,Total,desa/ kelurahan,,
32010036,Jumlah Desa/Kelurahan yang Memiliki  Fasilitas Pelayanan Kesehatan,,"[K00371] Desa;
[K00836] Kelurahan; [K00443] Fasilitas Pelayanan Kesehatan;",,Banyaknya desa/kelurahan yang di wilayahnya terdapat bangunan yang digunakan untuk penyelenggaraan atau penunjang pelayanan kesehatan.,[32010026] Wilayah;,-,Total,desa/ kelurahan,,
32010012,Jumlah Fasilitas Sosial yang Menerapkan Standar Pelayanan Masyarakat (SPM),,[K00452] Fasilitas Sosial;,,"Banyaknya fasilitas publik yang menyediakan layanan bagi masyarakat meliputi sarana, informasi, edukasi dan apresiasi dengan fokus konten efisiensi pengelolaan sumber daya (energi, air, dan material) dan pelaksanaan pengelolaan sampah.",[32010026] Wilayah;,-,Total,fasilitas publik,,
32010013,Jumlah Kaveling,,[K00741] Kaveling;,,Banyaknya bagian tanah yang sudah dipetak-petak dengan ukuran tertentu untuk bangunan usaha atau tempat tinggal.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Total,unit,,
32010037,Jumlah Kawasan Transmigrasi,,[K00765] Kawasan Transmigrasi;,,Banyaknya kawasan budi daya yang memiliki fungsi sebagai permukiman dan tempat usaha masyarakat dalam satu sistem pengembangan berupa wilayah pengembangan transmigrasi atau lokasi permukiman transmigrasi.,[32010026] Wilayah;,-,Total,kawasan,,
32010038,Jumlah Kelurahan,,[K00836] Kelurahan;,,Banyaknya daerah pemerintahan yang dipimpin oleh seorang lurah.,[32010026] Wilayah;,-,Total,kelurahan,,
32010039,Jumlah Lokasi Permukiman Transmigrasi,,[K02377] Permukiman; [K02222] Transmigrasi;,,Banyaknya lokasi potensial yang ditetapkan sebagai permukiman transmigrasi untuk mendukung pusat pertumbuhan wilayah yang sudah ada atau yang sedang berkembang sebagai kawasan perkotaan baru sesuai dengan rencana tata ruang wilayah.,[32010026] Wilayah;,-,Total,lokasi,,
32010040,Persentase Desa/ Kelurahan Tepi Laut,,"[K00371] Desa;
[K00836] Kelurahan; [K01063] Laut;",,"Bagian dari populasi desa/kelurahan yang sebagian atau seluruh wilayahnya bersinggungan langsung dengan laut, baik berupa pantai maupun tebing karang.",[32010026] Wilayah;,-,Persentase,persen,,
32010041,Persentase Desa/ Kelurahan yang Berlokasi di Dalam/ Tepi/Sekitar Kawasan Hutan,,"[K00371] Desa;
[K00836] Kelurahan; [K00745] Kawasan Hutan;",,"Bagian dari populasi desa/kelurahan yang terletak di dalam kawasan hutan, bersinggungan dengan kawasan hutan, atau berada di sekitar kawasan hutan.",[32010026] Wilayah;,-,Persentase,persen,,
32010042,Persentase Desa/ Kelurahan yang Berlokasi di Lereng/ Tebing/Puncak,,"[K00371] Desa;
[K00836]  Kelurahan; [K01093] Lereng; [K01832] Puncak; [K02388] Tebing;",,"Bagian dari populasi desa/kelurahan yang berlokasi di lereng, tebing, atau puncak.",[32010026] Wilayah;,-,Persentase,persen,,
32010043,"Persentase Kabupaten/ Kota dengan Angka Kesakitan Demam Berdarah Dengue (DBD) Paling Banyak 49 Per
100.000 Penduduk",,[K00369] Demam Berdarah Dengue (DBD);,,"Bagian dari populasi kabupaten/kota yang memiliki angka kesakitan demam berdarah dengue (DBD) kurang dari atau sama dengan 49 kasus per
100.000 penduduk dalam kurun waktu satu tahun.",[32010026] Wilayah;,-,Persentase,persen,,
32010044,Produk Domestik Regional Bruto (PDRB) Atas Dasar Harga Berlaku (ADHB),,[K01776] Produk Domestik Regional Bruto (PDRB);,,"Nilai tambah bruto atas barang dan jasa yang diproduksi di suatu wilayah (provinsi/kabupaten/kota), dengan nilai barang dan jasa dihitung menggunakan harga yang berlaku pada waktu itu.","[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Nilai,miliar rupiah,,
